State,District,Subdistt,Town/Village,Ward,EB,Level,Name,TRU,Area (in ha),TOT_P,Class,VP/MC,VP Area,VP Population,Forest Area (in Hectares),Area under Non-Agricultural Uses (in Hectares),Barren & Un-cultivable Land Area (in Hectares),Permanent Pastures and Other Grazing Land Area (in Hectares),Land Under Miscellaneous Tree Crops etc. Area (in Hectares),Culturable Waste Land Area (in Hectares),Fallows Land other than Current Fallows Area (in Hectares),Current Fallows Area (in Hectares),Net Area Sown (in Hectares),Total Unirrigated Land Area (in Hectares),Area Irrigated by Source (in Hectares),Canals Area (in Hectares),Wells/Tube Wells Area (in Hectares),Tanks/Lakes Area (in Hectares),Waterfall Area (in Hectares),Other Source (specify) Area (in Hectares)
30,585,05614,626847,0000,000000,VILLAGE,Adcolna ,Rural,371,1688,D,Boma-Adcolna,765.6,4495,0,0,0,0,0,112.75,146.55,0,111.7,75.5,36.2,0,0,36.2,0,0
30,586,05617,626948,0000,000000,VILLAGE,Adnem ,Rural,960,1657,D,Bali,3895,7415,213.4,85,0,0,0,401.6,0,0,260,240,20,0,5,0,5,10
30,586,05616,626906,0000,000000,VILLAGE,Adsulim ,Rural,20,214,D,Cana,1083,12627,0,0.5,0,0,0,2.1,0,0,17.4,17.4,0,0,0,0,0,0
30,585,05613,626825,0000,000000,VILLAGE,Advoi ,Rural,575.47,609,D,Birondem,2016.11,4101,0,6.5,37.46,0,269.77,205.3,2,10.2,44.24,37.9,6.34,6.34,0,0,0,0
30,585,05612,626745,0000,000000,VILLAGE,Adwalpale ,Rural,637.35,1412,D,Adwalpale,637.35,1412,0,20,110.35,15,47,26,31,19,369,307,62,43.5,5,13.5,0,0
30,585,05609,626657,0000,000000,VILLAGE,Agarvado ,Rural,267.55,1478,D,Agarwado-Chopdem,483.41,2452,0,150.44,0,0,0,7.29,0,0,109.82,109.82,0,0,0,0,0,0
30,586,05618,626973,0000,000000,VILLAGE,Aglote ,Rural,1645,1772,D,Sancordem,10182,4114,765.2,150.02,0,0,0,413.98,0,0,315.8,300,15.8,0,5.3,0,0,10.5
30,586,05619,627023,0000,000000,VILLAGE,Agonda ,Rural,1480,3801,C,Agonda,1480,3801,266,410,20,0,0,448,16,10,310,302,8,0,0,3,0,5
30,585,05609,626649,0000,000000,VILLAGE,Alorna ,Rural,2185.54,2651,C,Alorna,2185.54,2651,396.4,140.61,0,0,0,724.5,0,0,924.03,906.13,17.9,0,0,0,0,17.9
30,585,05611,626705,0000,000000,VILLAGE,Ambarim ,Rural,13.88,93,D,Chodan- Madel,1535.78,5563,0,3,0,0,0,5,0,0,5.88,5.88,0,0,0,0,0,0
30,586,05617,626947,0000,000000,VILLAGE,Ambaulim ,Rural,642,2987,C,Ambaulim,642,2987,0,37.3,0,0,160.7,0,0,0,444,290,154,50,0,50,0,54
30,585,05613,626803,0000,000000,VILLAGE,Ambedem ,Rural,125.27,272,D,Nagargaon,10172.57,4652,0,0.75,1.39,0,1.1,1.75,4.88,5.88,109.52,90,19.52,10.52,6.55,0,0,2.45
30,585,05613,626839,0000,000000,VILLAGE,Ambeli ,Rural,194.96,104,D,Cotorem,3993.35,4102,18.35,1.32,33.76,0,3.1,28.63,18.68,18.68,72.44,62.34,10.1,8.95,0.58,0,0,0.57
